extensions/vscode/server/greenlint_server.py	376	10	arg	argv	list[str] | None
extensions/vscode/server/scan_cache.py	84	0	ret	stats	dict
extensions/vscode/server/scan_cache.py	123	0	ret	result	dict
extensions/vscode/server/scan_cache.py	178	0	ret	result	dict[str, dict]
extensions/vscode/server/server_ops.py	19	0	ret	op_ping	dict
extensions/vscode/server/server_ops.py	35	0	ret	op_languages	dict
extensions/vscode/server/server_ops.py	42	0	ret	op_scan_text	dict
extensions/vscode/server/server_ops.py	50	0	ret	op_scan_file	dict
extensions/vscode/server/server_ops.py	58	0	ret	op_configure	dict
extensions/vscode/server/server_ops.py	69	0	ret	op_write_baseline	dict
extensions/vscode/server/server_ops.py	86	0	ret	op_invalidate	dict
greenlint.py	908	0	ret	_comment_scanners	tuple
greenlint.py	928	0	ret	_step_in_string	tuple
greenlint.py	954	0	ret	_step_outside_string	tuple
greenlint.py	1099	0	ret	_step_to_string_end	tuple
greenlint.py	1244	0	ret	_finding	dict
greenlint.py	1313	0	ret	_collect_for	tuple
greenlint.py	1319	0	ret	_collect_while	tuple
greenlint.py	1325	0	ret	_collect_try	tuple
greenlint.py	1330	0	ret	_collect_function	tuple
greenlint.py	1335	0	ret	_collect_class	tuple
greenlint.py	1340	0	ret	_collect_lambda	tuple
greenlint.py	1690	0	ret	_names_bound_to_lists	tuple
greenlint.py	1989	0	ret	_bracketing	tuple
greenlint.py	2053	0	ret	finding_sort_key	tuple
greenlint.py	2182	0	ret	_context_findings	None
greenlint.py	2221	0	ret	scan_file	None
tests/test_greenlint.py	11	27	arg	name	str
tests/test_greenlint.py	11	33	arg	content	str
tests/test_greenlint.py	1549	18	arg	rule	dict
tests/test_greenlint.py	1587	30	arg	name	str
tests/test_greenlint.py	1587	36	arg	content	str
tests/test_greenlint.py	1798	29	arg	name	str
tests/test_greenlint.py	1798	35	arg	source	str
tests/test_performance.py	34	27	arg	name	str
tests/test_performance.py	34	33	arg	content	str
tests/test_performance.py	41	17	arg	runs	int
tests/test_performance.py	133	19	arg	matches	int
tests/test_vscode_server.py	53	27	arg	name	str
tests/test_vscode_server.py	53	33	arg	content	str
